"trace_id","activities","employed","age","income","g"
"0","activity_05","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"0","activity_01","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"0","activity_03","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"1","activity_01","no","40-59yo","high","activity_03,activity_01,activity_03,activity_05"
"1","noise_3","no","40-59yo","high","activity_03,activity_01,activity_03,activity_05"
"1","activity_07","no","40-59yo","high","activity_03,activity_01,activity_03,activity_05"
"1","activity_01","no","40-59yo","high","activity_03,activity_01,activity_03,activity_05"
"1","activity_03","no","40-59yo","high","activity_03,activity_01,activity_03,activity_05"
"1","activity_03","no","40-59yo","high","activity_03,activity_01,activity_03,activity_05"
"2","activity_01","yes","80yo+","low","activity_04,activity_01,activity_02,activity_03,activity_04"
"2","activity_01","yes","80yo+","low","activity_04,activity_01,activity_02,activity_03,activity_04"
"2","activity_04","yes","80yo+","low","activity_04,activity_01,activity_02,activity_03,activity_04"
"2","activity_04","yes","80yo+","low","activity_04,activity_01,activity_02,activity_03,activity_04"
"2","activity_03","yes","80yo+","low","activity_04,activity_01,activity_02,activity_03,activity_04"
"3","activity_05","no","60-79yo","high","activity_05,activity_02,activity_04,activity_01"
"3","activity_02","no","60-79yo","high","activity_05,activity_02,activity_04,activity_01"
"3","activity_04","no","60-79yo","high","activity_05,activity_02,activity_04,activity_01"
"3","activity_01","no","60-79yo","high","activity_05,activity_02,activity_04,activity_01"
"4","activity_05","yes","60-79yo","middle","activity_05,activity_02,activity_04,activity_01"
"4","activity_02","yes","60-79yo","middle","activity_05,activity_02,activity_04,activity_01"
"4","activity_04","yes","60-79yo","middle","activity_05,activity_02,activity_04,activity_01"
"4","activity_01","yes","60-79yo","middle","activity_05,activity_02,activity_04,activity_01"
"5","activity_05","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"5","activity_03","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"5","noise_2","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"6","activity_04","no","20-39yo","middle","activity_04,activity_01,activity_02,activity_03,activity_04"
"6","activity_01","no","20-39yo","middle","activity_04,activity_01,activity_02,activity_03,activity_04"
"6","activity_02","no","20-39yo","middle","activity_04,activity_01,activity_02,activity_03,activity_04"
"6","activity_04","no","20-39yo","middle","activity_04,activity_01,activity_02,activity_03,activity_04"
"7","activity_03","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"7","activity_01","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"7","activity_03","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"7","activity_05","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"8","activity_03","no","60-79yo","high","activity_03,activity_01,activity_03,activity_05"
"8","activity_01","no","60-79yo","high","activity_03,activity_01,activity_03,activity_05"
"8","activity_03","no","60-79yo","high","activity_03,activity_01,activity_03,activity_05"
"8","activity_05","no","60-79yo","high","activity_03,activity_01,activity_03,activity_05"
"9","activity_03","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"9","activity_01","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"9","activity_03","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"9","activity_05","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"10","noise_1","no","20-39yo","low","activity_01,activity_02,activity_03,activity_07"
"10","activity_02","no","20-39yo","low","activity_01,activity_02,activity_03,activity_07"
