trace_id,activities,employed,age,income
0,activity_03,no,80yo+,middle
0,activity_01,no,80yo+,middle
0,activity_03,no,80yo+,middle
0,activity_05,no,80yo+,middle
1,activity_03,no,80yo+,middle
1,activity_01,no,80yo+,middle
1,activity_03,no,80yo+,middle
1,activity_05,no,80yo+,middle
2,activity_03,no,80yo+,middle
2,activity_01,no,80yo+,middle
2,activity_03,no,80yo+,middle
2,activity_05,no,80yo+,middle
3,activity_05,no,60-79yo,high
3,activity_02,no,60-79yo,high
3,activity_04,no,60-79yo,high
3,activity_01,no,60-79yo,high
4,activity_03,no,80yo+,middle
4,activity_01,no,80yo+,middle
4,activity_03,no,80yo+,middle
4,activity_05,no,80yo+,middle
5,activity_03,no,80yo+,middle
5,activity_01,no,80yo+,middle
5,activity_03,no,80yo+,middle
5,activity_05,no,80yo+,middle
6,activity_03,no,80yo+,middle
6,activity_01,no,80yo+,middle
6,activity_03,no,80yo+,middle
6,activity_05,no,80yo+,middle
7,activity_05,no,60-79yo,high
7,activity_02,no,60-79yo,high
7,activity_04,no,60-79yo,high
7,activity_01,no,60-79yo,high
8,activity_03,no,80yo+,middle
8,activity_01,no,80yo+,middle
8,activity_03,no,80yo+,middle
8,activity_05,no,80yo+,middle
9,activity_05,no,60-79yo,high
9,activity_02,no,60-79yo,high
9,activity_04,no,60-79yo,high
9,activity_01,no,60-79yo,high
10,activity_04,yes,40-59yo,middle
10,activity_01,yes,40-59yo,middle
10,activity_02,yes,40-59yo,middle
10,activity_03,yes,40-59yo,middle
10,activity_04,yes,40-59yo,middle
11,activity_05,no,60-79yo,high
11,activity_02,no,60-79yo,high
11,activity_04,no,60-79yo,high
11,activity_01,no,60-79yo,high
12,activity_03,no,80yo+,middle
12,activity_01,no,80yo+,middle
12,activity_03,no,80yo+,middle
12,activity_05,no,80yo+,middle
13,activity_01,yes,0-19yo,low
13,activity_02,yes,0-19yo,low
13,activity_03,yes,0-19yo,low
13,activity_07,yes,0-19yo,low
14,activity_05,no,60-79yo,high
14,activity_02,no,60-79yo,high
14,activity_04,no,60-79yo,high
14,activity_01,no,60-79yo,high
15,activity_05,no,60-79yo,high
15,activity_02,no,60-79yo,high
15,activity_04,no,60-79yo,high
15,activity_01,no,60-79yo,high
16,activity_05,no,60-79yo,high
16,activity_02,no,60-79yo,high
16,activity_04,no,60-79yo,high
16,activity_01,no,60-79yo,high
17,activity_05,no,60-79yo,high
17,activity_02,no,60-79yo,high
17,activity_04,no,60-79yo,high
17,activity_01,no,60-79yo,high
18,activity_03,no,80yo+,middle
18,activity_01,no,80yo+,middle
18,activity_03,no,80yo+,middle
18,activity_05,no,80yo+,middle
19,activity_03,no,80yo+,middle
19,activity_01,no,80yo+,middle
19,activity_03,no,80yo+,middle
19,activity_05,no,80yo+,middle
20,activity_03,no,80yo+,middle
20,activity_01,no,80yo+,middle
20,activity_03,no,80yo+,middle
20,activity_05,no,80yo+,middle
21,activity_04,yes,40-59yo,middle
21,activity_01,yes,40-59yo,middle
21,activity_02,yes,40-59yo,middle
21,activity_03,yes,40-59yo,middle
21,activity_04,yes,40-59yo,middle
22,activity_03,no,80yo+,middle
22,activity_01,no,80yo+,middle
22,activity_03,no,80yo+,middle
22,activity_05,no,80yo+,middle
23,activity_05,no,60-79yo,high
23,activity_02,no,60-79yo,high
23,activity_04,no,60-79yo,high
23,activity_01,no,60-79yo,high
24,activity_05,no,60-79yo,high
24,activity_02,no,60-79yo,high
24,activity_04,no,60-79yo,high
24,activity_01,no,60-79yo,high
25,activity_03,no,80yo+,middle
25,activity_01,no,80yo+,middle
25,activity_03,no,80yo+,middle
25,activity_05,no,80yo+,middle
26,activity_04,yes,40-59yo,middle
26,activity_01,yes,40-59yo,middle
26,activity_02,yes,40-59yo,middle
26,activity_03,yes,40-59yo,middle
26,activity_04,yes,40-59yo,middle
27,activity_01,yes,0-19yo,low
27,activity_02,yes,0-19yo,low
27,activity_03,yes,0-19yo,low
27,activity_07,yes,0-19yo,low
28,activity_05,no,60-79yo,high
28,activity_02,no,60-79yo,high
28,activity_04,no,60-79yo,high
28,activity_01,no,60-79yo,high
29,activity_05,no,60-79yo,high
29,activity_02,no,60-79yo,high
29,activity_04,no,60-79yo,high
29,activity_01,no,60-79yo,high
30,activity_05,no,60-79yo,high
30,activity_02,no,60-79yo,high
30,activity_04,no,60-79yo,high
30,activity_01,no,60-79yo,high
31,activity_03,no,80yo+,middle
31,activity_01,no,80yo+,middle
31,activity_03,no,80yo+,middle
31,activity_05,no,80yo+,middle
32,activity_01,yes,0-19yo,low
32,activity_02,yes,0-19yo,low
32,activity_03,yes,0-19yo,low
32,activity_07,yes,0-19yo,low
33,activity_05,no,60-79yo,high
33,activity_02,no,60-79yo,high
33,activity_04,no,60-79yo,high
33,activity_01,no,60-79yo,high
34,activity_03,no,80yo+,middle
34,activity_01,no,80yo+,middle
34,activity_03,no,80yo+,middle
34,activity_05,no,80yo+,middle
35,activity_05,no,60-79yo,high
35,activity_02,no,60-79yo,high
35,activity_04,no,60-79yo,high
35,activity_01,no,60-79yo,high
36,activity_03,no,80yo+,middle
36,activity_01,no,80yo+,middle
36,activity_03,no,80yo+,middle
36,activity_05,no,80yo+,middle
37,activity_03,no,80yo+,middle
37,activity_01,no,80yo+,middle
37,activity_03,no,80yo+,middle
37,activity_05,no,80yo+,middle
38,activity_03,no,80yo+,middle
38,activity_01,no,80yo+,middle
38,activity_03,no,80yo+,middle
38,activity_05,no,80yo+,middle
39,activity_03,no,80yo+,middle
39,activity_01,no,80yo+,middle
39,activity_03,no,80yo+,middle
39,activity_05,no,80yo+,middle
40,activity_03,no,80yo+,middle
40,activity_01,no,80yo+,middle
40,activity_03,no,80yo+,middle
40,activity_05,no,80yo+,middle
41,activity_03,no,80yo+,middle
41,activity_01,no,80yo+,middle
41,activity_03,no,80yo+,middle
41,activity_05,no,80yo+,middle
42,activity_03,no,80yo+,middle
42,activity_01,no,80yo+,middle
42,activity_03,no,80yo+,middle
42,activity_05,no,80yo+,middle
43,activity_03,no,80yo+,middle
43,activity_01,no,80yo+,middle
43,activity_03,no,80yo+,middle
43,activity_05,no,80yo+,middle
44,activity_01,yes,0-19yo,low
44,activity_02,yes,0-19yo,low
44,activity_03,yes,0-19yo,low
44,activity_07,yes,0-19yo,low
45,activity_05,no,60-79yo,high
45,activity_02,no,60-79yo,high
45,activity_04,no,60-79yo,high
45,activity_01,no,60-79yo,high
46,activity_01,yes,0-19yo,low
46,activity_02,yes,0-19yo,low
46,activity_03,yes,0-19yo,low
46,activity_07,yes,0-19yo,low
47,activity_03,no,80yo+,middle
47,activity_01,no,80yo+,middle
47,activity_03,no,80yo+,middle
47,activity_05,no,80yo+,middle
48,activity_03,no,80yo+,middle
48,activity_01,no,80yo+,middle
48,activity_03,no,80yo+,middle
48,activity_05,no,80yo+,middle
49,activity_04,yes,40-59yo,middle
49,activity_01,yes,40-59yo,middle
49,activity_02,yes,40-59yo,middle
49,activity_03,yes,40-59yo,middle
49,activity_04,yes,40-59yo,middle
50,activity_05,no,60-79yo,high
50,activity_02,no,60-79yo,high
50,activity_04,no,60-79yo,high
50,activity_01,no,60-79yo,high
51,activity_03,no,80yo+,middle
51,activity_01,no,80yo+,middle
51,activity_03,no,80yo+,middle
51,activity_05,no,80yo+,middle
52,activity_03,no,80yo+,middle
52,activity_01,no,80yo+,middle
52,activity_03,no,80yo+,middle
52,activity_05,no,80yo+,middle
53,activity_05,no,60-79yo,high
53,activity_02,no,60-79yo,high
53,activity_04,no,60-79yo,high
53,activity_01,no,60-79yo,high
54,activity_01,yes,0-19yo,low
54,activity_02,yes,0-19yo,low
54,activity_03,yes,0-19yo,low
54,activity_07,yes,0-19yo,low
55,activity_05,no,60-79yo,high
55,activity_02,no,60-79yo,high
55,activity_04,no,60-79yo,high
55,activity_01,no,60-79yo,high
56,activity_05,no,60-79yo,high
56,activity_02,no,60-79yo,high
56,activity_04,no,60-79yo,high
56,activity_01,no,60-79yo,high
57,activity_03,no,80yo+,middle
57,activity_01,no,80yo+,middle
57,activity_03,no,80yo+,middle
57,activity_05,no,80yo+,middle
58,activity_05,no,60-79yo,high
58,activity_02,no,60-79yo,high
58,activity_04,no,60-79yo,high
58,activity_01,no,60-79yo,high
59,activity_03,no,80yo+,middle
59,activity_01,no,80yo+,middle
59,activity_03,no,80yo+,middle
59,activity_05,no,80yo+,middle
60,activity_05,no,60-79yo,high
60,activity_02,no,60-79yo,high
60,activity_04,no,60-79yo,high
60,activity_01,no,60-79yo,high
61,activity_03,no,80yo+,middle
61,activity_01,no,80yo+,middle
61,activity_03,no,80yo+,middle
61,activity_05,no,80yo+,middle
62,activity_04,yes,40-59yo,middle
62,activity_01,yes,40-59yo,middle
62,activity_02,yes,40-59yo,middle
62,activity_03,yes,40-59yo,middle
62,activity_04,yes,40-59yo,middle
63,activity_04,yes,40-59yo,middle
63,activity_01,yes,40-59yo,middle
63,activity_02,yes,40-59yo,middle
63,activity_03,yes,40-59yo,middle
63,activity_04,yes,40-59yo,middle
64,activity_01,yes,0-19yo,low
64,activity_02,yes,0-19yo,low
64,activity_03,yes,0-19yo,low
64,activity_07,yes,0-19yo,low
65,activity_03,no,80yo+,middle
65,activity_01,no,80yo+,middle
65,activity_03,no,80yo+,middle
65,activity_05,no,80yo+,middle
66,activity_05,no,60-79yo,high
66,activity_02,no,60-79yo,high
66,activity_04,no,60-79yo,high
66,activity_01,no,60-79yo,high
67,activity_04,yes,40-59yo,middle
67,activity_01,yes,40-59yo,middle
67,activity_02,yes,40-59yo,middle
67,activity_03,yes,40-59yo,middle
67,activity_04,yes,40-59yo,middle
68,activity_05,no,60-79yo,high
68,activity_02,no,60-79yo,high
68,activity_04,no,60-79yo,high
68,activity_01,no,60-79yo,high
69,activity_04,yes,40-59yo,middle
69,activity_01,yes,40-59yo,middle
69,activity_02,yes,40-59yo,middle
69,activity_03,yes,40-59yo,middle
69,activity_04,yes,40-59yo,middle
70,activity_03,no,80yo+,middle
70,activity_01,no,80yo+,middle
70,activity_03,no,80yo+,middle
70,activity_05,no,80yo+,middle
71,activity_04,yes,40-59yo,middle
71,activity_01,yes,40-59yo,middle
71,activity_02,yes,40-59yo,middle
71,activity_03,yes,40-59yo,middle
71,activity_04,yes,40-59yo,middle
72,activity_03,no,80yo+,middle
72,activity_01,no,80yo+,middle
72,activity_03,no,80yo+,middle
72,activity_05,no,80yo+,middle
73,activity_05,no,60-79yo,high
73,activity_02,no,60-79yo,high
73,activity_04,no,60-79yo,high
73,activity_01,no,60-79yo,high
74,activity_05,no,60-79yo,high
74,activity_02,no,60-79yo,high
74,activity_04,no,60-79yo,high
74,activity_01,no,60-79yo,high
75,activity_05,no,60-79yo,high
75,activity_02,no,60-79yo,high
75,activity_04,no,60-79yo,high
75,activity_01,no,60-79yo,high
76,activity_05,no,60-79yo,high
76,activity_02,no,60-79yo,high
76,activity_04,no,60-79yo,high
76,activity_01,no,60-79yo,high
77,activity_03,no,80yo+,middle
77,activity_01,no,80yo+,middle
77,activity_03,no,80yo+,middle
77,activity_05,no,80yo+,middle
78,activity_03,no,80yo+,middle
78,activity_01,no,80yo+,middle
78,activity_03,no,80yo+,middle
78,activity_05,no,80yo+,middle
79,activity_05,no,60-79yo,high
79,activity_02,no,60-79yo,high
79,activity_04,no,60-79yo,high
79,activity_01,no,60-79yo,high
80,activity_03,no,80yo+,middle
80,activity_01,no,80yo+,middle
80,activity_03,no,80yo+,middle
80,activity_05,no,80yo+,middle
81,activity_03,no,80yo+,middle
81,activity_01,no,80yo+,middle
81,activity_03,no,80yo+,middle
81,activity_05,no,80yo+,middle
82,activity_01,yes,0-19yo,low
82,activity_02,yes,0-19yo,low
82,activity_03,yes,0-19yo,low
82,activity_07,yes,0-19yo,low
83,activity_04,yes,40-59yo,middle
83,activity_01,yes,40-59yo,middle
83,activity_02,yes,40-59yo,middle
83,activity_03,yes,40-59yo,middle
83,activity_04,yes,40-59yo,middle
84,activity_03,no,80yo+,middle
84,activity_01,no,80yo+,middle
84,activity_03,no,80yo+,middle
84,activity_05,no,80yo+,middle
85,activity_04,yes,40-59yo,middle
85,activity_01,yes,40-59yo,middle
85,activity_02,yes,40-59yo,middle
85,activity_03,yes,40-59yo,middle
85,activity_04,yes,40-59yo,middle
86,activity_05,no,60-79yo,high
86,activity_02,no,60-79yo,high
86,activity_04,no,60-79yo,high
86,activity_01,no,60-79yo,high
87,activity_05,no,60-79yo,high
87,activity_02,no,60-79yo,high
87,activity_04,no,60-79yo,high
87,activity_01,no,60-79yo,high
88,activity_05,no,60-79yo,high
88,activity_02,no,60-79yo,high
88,activity_04,no,60-79yo,high
88,activity_01,no,60-79yo,high
89,activity_01,yes,0-19yo,low
89,activity_02,yes,0-19yo,low
89,activity_03,yes,0-19yo,low
89,activity_07,yes,0-19yo,low
90,activity_05,no,60-79yo,high
90,activity_02,no,60-79yo,high
90,activity_04,no,60-79yo,high
90,activity_01,no,60-79yo,high
91,activity_01,yes,0-19yo,low
91,activity_02,yes,0-19yo,low
91,activity_03,yes,0-19yo,low
91,activity_07,yes,0-19yo,low
92,activity_05,no,60-79yo,high
92,activity_02,no,60-79yo,high
92,activity_04,no,60-79yo,high
92,activity_01,no,60-79yo,high
93,activity_05,no,60-79yo,high
93,activity_02,no,60-79yo,high
93,activity_04,no,60-79yo,high
